id,title,pre_or_post,mean,improvement
317469184,ESPN,pre,3.384180790960452,False
317469184,ESPN,post,2.64,False
766443283,FlashScore,pre,3.589041095890411,True
766443283,FlashScore,post,5.0,True
388491656,Fly Delta,pre,1.6748466257668713,True
388491656,Fly Delta,post,1.9574468085106382,True
585027354,Google Maps,pre,3.95,False
585027354,Google Maps,post,3.64,False
498477945,Moovit: Bus Train Metro Subway - Live Transit App with Map Schedules and Next Bus,pre,4.18,False
498477945,Moovit: Bus Train Metro Subway - Live Transit App with Map Schedules and Next Bus,post,3.0775862068965516,False
431497717,Roomie Remote \u2013 Universal Remote Control,pre,4.357142857142857,False
431497717,Roomie Remote \u2013 Universal Remote Control,post,2.8,False
300235330,"RunKeeper - GPS Running, Walk, Cycling, Workout and Weight Tracker",pre,4.64,False
300235330,"RunKeeper - GPS Running, Walk, Cycling, Workout and Weight Tracker",post,,False
333210180,Running and Walking with Endomondo,pre,3.6530612244897958,True
333210180,Running and Walking with Endomondo,post,4.090909090909091,True
336599882,"Runtastic GPS Running, Walking, Jogging, Fitness Distance Tracker and Marathon Training",pre,4.396551724137931,True
336599882,"Runtastic GPS Running, Walking, Jogging, Fitness Distance Tracker and Marathon Training",post,4.527397260273973,True
498151501,Transit App: Real Time Bus & Subway Tracker with Offline Schedules,pre,4.12,True
498151501,Transit App: Real Time Bus & Subway Tracker with Offline Schedules,post,4.120481927710843,True
858846387,WestJet,pre,,False
858846387,WestJet,post,2.25,False
