id,title,week,nr_observations,week_mean
382698565,American Airlines,16.0,,
382698565,American Airlines,17.0,126,1.3333333333333333
382698565,American Airlines,18.0,,
382698565,American Airlines,19.0,49,1.346938775510204
382698565,American Airlines,20.0,39,1.8717948717948718
382698565,American Airlines,21.0,23,1.3043478260869565
382698565,American Airlines,22.0,15,1.3333333333333333
382698565,American Airlines,23.0,,
469463298,Citymapper - the ultimate real time transit app,16.0,,
469463298,Citymapper - the ultimate real time transit app,17.0,58,4.586206896551724
469463298,Citymapper - the ultimate real time transit app,18.0,,
469463298,Citymapper - the ultimate real time transit app,19.0,,
469463298,Citymapper - the ultimate real time transit app,20.0,13,3.3076923076923075
469463298,Citymapper - the ultimate real time transit app,21.0,19,3.9473684210526314
469463298,Citymapper - the ultimate real time transit app,22.0,6,5.0
469463298,Citymapper - the ultimate real time transit app,23.0,8,4.0
880332077,Honeywell Lyric,16.0,,
880332077,Honeywell Lyric,17.0,,
880332077,Honeywell Lyric,18.0,,
880332077,Honeywell Lyric,19.0,,
880332077,Honeywell Lyric,20.0,3,2.6666666666666665
880332077,Honeywell Lyric,21.0,,
880332077,Honeywell Lyric,22.0,,
880332077,Honeywell Lyric,23.0,,
415374545,Lutron Home Control+,16.0,1,2.0
415374545,Lutron Home Control+,17.0,,
415374545,Lutron Home Control+,18.0,,
415374545,Lutron Home Control+,19.0,1,1.0
415374545,Lutron Home Control+,20.0,,
415374545,Lutron Home Control+,21.0,2,3.0
415374545,Lutron Home Control+,22.0,4,2.25
415374545,Lutron Home Control+,23.0,,
493619333,MLB.com At Bat,16.0,,
493619333,MLB.com At Bat,17.0,50,2.4
493619333,MLB.com At Bat,18.0,30,3.2333333333333334
493619333,MLB.com At Bat,19.0,,
493619333,MLB.com At Bat,20.0,,
493619333,MLB.com At Bat,21.0,,
493619333,MLB.com At Bat,22.0,50,1.92
493619333,MLB.com At Bat,23.0,53,2.2264150943396226
387771637,Nike+ Running,16.0,100,3.6
387771637,Nike+ Running,17.0,,
387771637,Nike+ Running,18.0,,
387771637,Nike+ Running,19.0,408,2.0245098039215685
387771637,Nike+ Running,20.0,,
387771637,Nike+ Running,21.0,100,2.43
387771637,Nike+ Running,22.0,50,2.88
387771637,Nike+ Running,23.0,49,2.8979591836734695
312306003,SPG: Starwood Hotels & Resorts,16.0,,
312306003,SPG: Starwood Hotels & Resorts,17.0,,
312306003,SPG: Starwood Hotels & Resorts,18.0,,
312306003,SPG: Starwood Hotels & Resorts,19.0,50,2.44
312306003,SPG: Starwood Hotels & Resorts,20.0,,
312306003,SPG: Starwood Hotels & Resorts,21.0,,
312306003,SPG: Starwood Hotels & Resorts,22.0,50,2.94
312306003,SPG: Starwood Hotels & Resorts,23.0,,
